candidate_id,source,title,composer_normalized,grade,grade_source,predicted_grade,composite_percentile,midi_max_pct,max_chord_stack_pct,voice_count_max_pct,polyphonic_measure_ratio_pct,measure_count_pct
gh:LYD01/music-teacher@main:public/pieces/adelita.musicxml,github,Adelita,Francisco Tárrega,,,3,3.4,9.6,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/am-dm-e-progression.musicxml,github,Am - Dm - E Progression,Exercise,,,5,21.4,1.1,99.3,1.1,3.5,1.8
gh:LYD01/music-teacher@main:public/pieces/asturias-theme.musicxml,github,Asturias (Leyenda) - Theme,Isaac Albéniz,,,3,4.0,12.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/basic-open-chords.musicxml,github,Basic Open Chords,Exercise,,,5,33.3,3.1,99.9,1.1,60.6,1.8
gh:LYD01/music-teacher@main:public/pieces/capricho-arabe.musicxml,github,Capricho Árabe (Theme),Francisco Tárrega,,,3,4.8,16.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/estudio-am.musicxml,github,Estudio in A minor,Francisco Tárrega,,,3,4.0,12.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/farruca.musicxml,github,Farruca,Traditional Flamenco,,,3,4.0,12.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/first-string-notes.musicxml,github,Notes on the High E String,Exercise,,,3,2.1,3.1,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/greensleeves.musicxml,github,Greensleeves,Traditional English,,,3,1.7,1.1,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/lagrima.musicxml,github,Lágrima,Francisco Tárrega,,,3,5.6,20.3,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/malaguena.musicxml,github,Malagueña,Traditional Spanish,,,3,1.7,1.1,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/ode-to-joy.musicxml,github,Ode to Joy,Ludwig van Beethoven,,,3,2.1,3.1,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/open-string-notes.musicxml,github,Open String Notes,Exercise,,,3,1.6,0.4,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/prelude-emin-villalobos.musicxml,github,Prelude No. 1 in E minor (Theme),Heitor Villa-Lobos,,,5,21.5,9.6,91.4,1.1,3.5,1.8
gh:LYD01/music-teacher@main:public/pieces/recuerdos-theme.musicxml,github,Recuerdos de la Alhambra (Theme),Francisco Tárrega,,,3,4.0,12.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/romanza.musicxml,github,Romanza (Spanish Romance),Anonymous,,,3,4.0,12.5,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/second-string-notes.musicxml,github,Notes on the B String,Exercise,,,3,1.5,0.1,3.2,1.1,1.4,1.8
gh:LYD01/music-teacher@main:public/pieces/spanish-study-am.musicxml,github,Spanish Study in A minor,Traditional Spanish,,,3,12.3,0.4,54.9,1.1,3.5,1.8
gh:Plisken78/plisken78.github.io@main:notlasning/songs/Ave Maria.musicxml,github,Ave Maria,F. Schubert,,,3,11.7,12.5,3.2,3.5,1.4,37.6
gh:ThePython10110/MuseScore@master:Converted/MusicXML/Silksong/Choral Chambers on guitar (Silksong).musicxml,github,Choral Chambers (Silksong),"Christopher Larkin, Arranged by Beyond the Guitar",,,7,70.5,16.5,91.4,92.4,60.6,91.8
gh:arhanv/ug-dataset@main:dataset-converted-xml/Open D/Metal/Criminal - New Disorder.musicxml,github,new disorder,riffman hansgtr@hotmail.com,,,5,27.0,0.0,54.9,3.5,60.6,16.2
gh:moisur/courstrompette@master:public/Wikifonia.rendered/lee konitz - subconscious lee.musicxml,github,subconscious lee,lee konitz,,,5,29.6,92.5,3.2,3.5,1.4,47.1
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:anonymous/andante/andante.musicxml,github,Andante,Anonymous,,,5,21.7,23.0,3.2,19.8,60.6,1.8
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:antonio-rovira/romance-de-amor/romance-de-amor.musicxml,github,Romance de Amor,Antonio Rovira,,,7,55.8,20.3,91.4,59.8,60.6,47.1
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:dilermando-reis/se-ela-perguntar/se-ela-perguntar.musicxml,github,Se Ela Perguntar,Dilermando Reis,,,7,56.5,24.2,54.9,59.8,60.6,83.2
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:dorival-caymmi/modinha-para-gabriela/modinha-para-gabriela.musicxml,github,Modinha para Gabriela,Dorival Caymmi,,,5,31.7,1.5,54.9,19.8,60.6,21.9
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:ernesto-nazareth/odeon/odeon.musicxml,github,Odeon,Ernesto Nazareth,,,6,45.8,23.0,54.9,19.8,60.6,70.7
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/air-on-the-g-string/air-on-the-g-string.musicxml,github,Air on the G String,Johann Sebastian Bach,,,6,46.1,8.3,54.9,59.8,60.6,47.1
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/bourree/bourree.musicxml,github,Bourreé,J. S. Bach,,,6,48.9,50.7,3.2,92.4,60.6,37.6
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/jesu-joy-of-mans-desiring/jesu-joy-of-mans-desiring.musicxml,github,"Jesu,  Joy of Man's Desiring",J. S. Bach,,,6,41.6,12.5,91.4,19.8,60.6,23.5
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/minueto-I/minueto-I.musicxml,github,Minueto I,J. S. Bach,,,6,38.4,12.5,54.9,19.8,60.6,44.2
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/minueto-II/minueto-II.musicxml,github,Minueto II,J. S. Bach,,,5,30.1,9.6,16.2,19.8,60.6,44.2
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/prelude-for-lute/prelude-for-lute.musicxml,github,Prelude,J. S. Bach,,,6,49.9,16.5,91.4,19.8,60.6,60.9
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:joao-pernambuco/sons-de-carrilhoes/sons-de-carrilhoes.musicxml,github,Sons de Carrilhões,João Pernambuco,,,5,31.8,20.3,54.9,19.8,13.6,50.4
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:matteo-carcassi/study-3/study-3.musicxml,github,Study 3,Matteo Carcassi,,,5,28.1,6.4,16.2,19.8,60.6,37.6
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:maurice-ravel/bolero/bolero.musicxml,github,Bolero,Maurice Ravel,,,3,16.2,0.4,3.2,3.5,1.4,72.5
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:paulinho-nogueira/bachianinha-1/bachianinha-1.musicxml,github,Bachianinha Nº 1,Paulinho Nogueira,,,7,71.4,20.3,91.4,92.4,60.6,92.5
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:pixinguinha/carinhoso/carinhoso.musicxml,github,Carinhoso,Pixinguinha,,,6,37.5,6.4,91.4,19.8,14.4,55.7
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:waldyr-azevedo/pedacinhos-do-ceu/pedacinhos-do-ceu.musicxml,github,Pedacinhos do céu,Waldyr Azevedo,,,6,42.6,12.5,91.4,19.8,16.8,72.5
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:zacar/soleado/soleado.musicxml,github,Soleado,Zacar,,,3,18.9,6.4,16.2,59.8,8.1,4.2
gh:ujfjhz/ChineseMusicScore@main:MusicScore/民间音乐/汉族/河北/河北民歌-小白菜/河北民歌-小白菜.musicxml,github,河北民歌-小白菜,河北民歌,,,3,4.0,6.4,3.2,3.5,1.4,5.2
guitarloot:Scores/EnglishMusic/Allison/AllisonQuadroGtr,guitarloot,Quadro Pavan,Richard Allison,3,delcamp-eric-crouch,6,53.1,63.6,54.9,59.8,16.8,70.7
guitarloot:Scores/EnglishMusic/Allison/AlmainAllisonAS,guitarloot,Almain,Richard Allison,3,delcamp-eric-crouch,6,37.9,50.7,54.9,19.8,60.6,3.6
guitarloot:Scores/EnglishMusic/Allison/DeLaTrombaPavanGtr,guitarloot,De La Tromba Pavan,Richard Allison,3,delcamp-eric-crouch,7,63.9,63.6,91.4,59.8,60.6,44.2
guitarloot:Scores/EnglishMusic/Allison/SharpPavan2cGtrAS,guitarloot,Sharp Pavan (2c),Richard Allison,3,delcamp-eric-crouch,7,73.8,71.4,91.4,59.8,60.6,86.1
guitarloot:Scores/EnglishMusic/Anon/012MilanDumpGtr,guitarloot,The Duke of Milan's Dump,Anon,6,delcamp-eric-crouch,3,17.1,12.5,16.2,19.8,10.4,26.8
guitarloot:Scores/EnglishMusic/Anon/CareyDompeAS,guitarloot,My Lady Carey's Dompe,Anon,5,delcamp-eric-crouch,7,74.6,92.5,54.9,92.4,60.6,72.5
guitarloot:Scores/EnglishMusic/Anon/DargessonGtr,guitarloot,Dargesson,Anon Dd.2.11 f.8,6,delcamp-eric-crouch,6,50.3,36.5,54.9,59.8,60.6,39.8
guitarloot:Scores/EnglishMusic/Anon/DowneGGtr,guitarloot,A Downe,Anon 16th century,6,delcamp-eric-crouch,5,34.1,50.7,16.2,59.8,8.8,35.3
guitarloot:Scores/EnglishMusic/Anon/GallUntitledGtr,guitarloot,Untitled (Galliard),Anon,6,delcamp-eric-crouch,7,57.7,80.8,54.9,59.8,60.6,32.4
guitarloot:Scores/EnglishMusic/Anon/JourDesireGAS,guitarloot,Jour Desiré,Anon,6,delcamp-eric-crouch,6,53.9,50.7,91.4,59.8,14.2,53.2
guitarloot:Scores/EnglishMusic/Anon/LothDepartAnonAS,guitarloot,Loth to Depart,Anon Dd. 2.11 f.9,6,delcamp-eric-crouch,7,66.5,36.5,91.4,92.4,60.6,51.9
guitarloot:Scores/EnglishMusic/Anon/MilitisDumpAArr,guitarloot,Militis Dump,Anon: CUL MS Dd.9.33,7,delcamp-eric-crouch,6,53.1,80.8,91.4,19.8,15.0,58.8
guitarloot:Scores/EnglishMusic/Anon/MilitisDumpAlt,guitarloot,Militis Dump,Anon: CUL MS Dd.9.33,7,delcamp-eric-crouch,6,50.4,63.6,54.9,59.8,15.0,58.8
guitarloot:Scores/EnglishMusic/Anon/Pastyme,guitarloot,Pastyme,Anon,5,delcamp-eric-crouch,6,35.0,36.5,16.2,19.8,60.6,42.1
